,Unnamed: 0,Unnamed: 0.1,sourceName,double,speed,length
361,361,8023,Parkinsons,0.34,2.1586435219999998,26.77165354
362,362,8024,Parkinsons,0.309,2.706692913,25.59055118
363,363,8025,Parkinsons,0.33799999999999997,1.834287759,20.07874016
364,364,8026,Parkinsons,0.3165,2.06916607,21.65354331
365,365,8027,Parkinsons,0.32899999999999996,2.013242663,20.07874016
366,366,8028,Parkinsons,0.326,1.722440945,19.68503937
367,367,8029,Parkinsons,0.314,2.37115247,24.40944882
368,368,8030,Parkinsons,0.31,2.594846099,24.40944882
369,369,8031,Parkinsons,0.2725,2.98630995,26.57480315
370,370,8032,Parkinsons,0.285,2.661954188,26.57480315
371,371,8033,Parkinsons,0.319,2.214566929,21.25984252
372,372,8034,Parkinsons,0.35,1.811918397,19.68503937
373,373,8035,Parkinsons,0.326,1.968503937,19.68503937
374,374,8036,Parkinsons,0.32299999999999995,2.52773801,25.19685039
375,375,8037,Parkinsons,0.297,2.9974946310000004,26.37795276
376,376,8038,Parkinsons,0.319,2.2257516109999997,23.22834646
377,377,8039,Parkinsons,0.312,2.818539728,27.55905512
378,378,8040,Parkinsons,0.272,3.131710809,26.77165354
379,379,8041,Parkinsons,0.301,2.572476736,24.80314961
380,380,8042,Parkinsons,0.325,1.9908733,19.68503937
381,381,8043,Parkinsons,0.32799999999999996,2.14745884,24.01574803
382,382,8044,Parkinsons,0.318,2.348783107,23.62204724
383,383,8045,Parkinsons,0.335,1.9237652109999999,21.25984252
384,384,8046,Parkinsons,0.27699999999999997,2.68432355,24.01574803
385,385,8047,Parkinsons,0.276,1.8566571219999999,17.32283465
386,386,8048,Parkinsons,0.32799999999999996,2.415891195,23.62204724
387,387,8049,Parkinsons,0.311,2.4606299209999998,22.83464567
388,388,8050,Parkinsons,0.2885,2.975125268,27.55905512
389,389,8051,Parkinsons,0.3205,2.3823371509999998,25.59055118
390,390,8052,Parkinsons,0.3065,2.661954188,27.55905512
391,391,8053,Parkinsons,0.28600000000000003,3.258470532,29.26509186
392,392,8054,Parkinsons,0.3255,2.572476736,26.77165354
393,393,8055,Parkinsons,0.29100000000000004,2.494183966,26.57480315
394,394,8056,Parkinsons,0.27699999999999997,2.52773801,23.22834646
395,395,8057,Parkinsons,0.3325,2.203382248,23.81889764
396,396,8058,Parkinsons,0.307,2.818539728,25.19685039
397,397,8059,Parkinsons,0.258,3.131710809,28.34645669
398,398,8060,Parkinsons,0.35200000000000004,1.9237652109999999,19.68503937
399,399,8061,Parkinsons,0.3005,2.695508232,23.42519685
400,400,8062,Parkinsons,0.32899999999999996,2.0803507519999997,20.47244094
401,401,8063,Parkinsons,0.28,2.952755906,28.74015748
402,402,8064,Parkinsons,0.307,2.438260558,20.47244094
403,403,8065,Parkinsons,0.337,1.9908733,22.44094488
404,404,8066,Parkinsons,0.27399999999999997,3.086972083,26.37795276
405,405,8067,Parkinsons,0.312,2.818539728,27.55905512
406,406,8068,Parkinsons,0.312,2.695508232,25.0
407,407,8069,Parkinsons,0.2795,3.031048676,26.96850394
408,408,8070,Parkinsons,0.317,2.490455738,22.96587927
409,409,8071,Parkinsons,0.29,2.8409090910000003,26.37795276
410,410,8072,Parkinsons,0.3265555556,2.06916607,22.04724409
411,411,8073,Parkinsons,0.294,2.796170365,26.64041995
412,412,8074,Parkinsons,0.3175,2.337598425,22.44094488
413,413,8075,Parkinsons,0.312,2.393521832,25.19685039
414,414,8076,Parkinsons,0.30466666670000003,2.430804104,24.67191601
415,415,8077,Parkinsons,0.322,2.125089477,22.04724409
416,416,8078,Parkinsons,0.301,3.086972083,29.52755906
